Cell_ID,Area,Perimeter,Circularity
1,1127.0,148.76955262170048,0.6398905051563596
2,1051.0,136.3259018078045,0.7106501000594038
3,484.0,87.11269837220809,0.8014792676296142
4,834.0,112.32590180780451,0.8306462076870574
5,1596.0,155.9827560572969,0.8243081083088664
6,1119.0,145.01219330881975,0.6686993606317451
7,2599.0,190.40916292848974,0.900825053001651
8,1411.0,139.78174593052023,0.9074776890261783
9,2270.0,175.3380951166243,0.9278614964252062
10,131.0,66.14213562373095,0.3762917811721997
11,1056.0,123.1543289325507,0.8749322361064406
12,1728.0,160.71067811865476,0.8407446936701435
13,2535.0,189.4386001800126,0.8876686372880933
14,3239.0,216.65180361560903,0.8671539252356713
15,2315.0,179.68124086713186,0.9010634695436648
16,1213.0,132.36753236814712,0.8699768965838551
17,518.0,93.42640687119285,0.7457621384028584
18,1561.0,153.63961030678928,0.8310102358820565
19,2467.0,187.6812408671319,0.8801106599348743
20,2832.0,197.68124086713186,0.9106934143593687
21,1341.0,150.22539674441617,0.7467099227799586
22,2716.0,194.02438661763952,0.906623540507849
23,2516.0,186.50966799187808,0.9089035565048542
24,3095.0,204.75230867899737,0.9277114199391756
25,2044.0,170.0243866176395,0.8885222792141839
26,2338.0,180.99494936611666,0.8968533993770201
27,1975.0,173.82337649086284,0.8214111626496746
28,4790.0,260.69343417595167,0.8856970355861873
29,70.0,42.14213562373095,0.49530740762170433
30,2141.0,172.8528137423857,0.9004790729945914
31,1122.0,128.66904755831214,0.8516370531430945
32,1743.0,155.4386001800126,0.9065452738114055
33,3197.0,218.45079348883235,0.8418704137695087
34,3436.0,220.40916292848974,0.8887993509358861
35,2821.0,205.92388155425118,0.8359869893454938
36,1576.0,150.95331880577402,0.8691220048918028
37,1171.0,129.84062043356593,0.8728620161673503
38,765.0,120.18376618407358,0.6655484564145929
39,2745.0,197.58073580374355,0.8836148702031368
40,2276.0,182.0243866176395,0.8632229322858012
41,3407.0,217.48023074035524,0.9051955856700652
42,2215.0,177.6812408671319,0.8816585785101955
43,1939.0,166.36753236814712,0.8803401777989486
44,2098.0,180.46803743153546,0.8094960929476996
45,2958.0,204.99494936611666,0.8845486244503215
46,2420.0,184.61017305526642,0.892306324476979
47,907.0,127.7401153701776,0.6984937797282773
48,2638.0,195.82337649086284,0.8644812655300503
49,2610.0,194.65180361560903,0.8656324071687197
50,2801.0,197.92388155425118,0.8985175699957164
51,2337.0,180.2670273047588,0.9037243462796084
52,2561.0,186.8528137423857,0.9217648824564288
53,2233.0,179.19595949289334,0.8738606050654283
54,1798.0,161.53910524340094,0.8658530784663603
55,1682.0,178.91168824543144,0.6603260457849938
56,830.0,125.59797974644667,0.6611844769440522
57,580.0,101.11269837220809,0.7128964575317376
58,478.0,91.69848480983501,0.7143539350488436
59,201.0,59.55634918610404,0.7121144301111856
60,216.0,73.55634918610404,0.5016759520794623
